src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
44.207.251.162,172.24.219.170,443,64757,tcp,4,264,7.125
34.232.52.169,172.24.219.170,443,64758,tcp,4,264,7.523
3.217.2.135,172.24.219.170,443,64759,tcp,4,264,6.973
44.207.251.162,172.24.219.170,443,64760,tcp,4,264,7.118
44.207.251.162,172.24.219.170,443,64761,tcp,4,264,7.112
34.232.52.169,172.24.219.170,443,64764,tcp,4,264,7.054
3.217.2.135,172.24.219.170,443,64766,tcp,4,264,7.549
3.217.2.135,172.24.219.170,443,64767,tcp,4,264,7.477
23.20.131.48,172.24.219.170,443,64770,tcp,4,264,6.917
23.23.42.155,172.24.219.170,443,64772,tcp,4,264,7.103
23.23.42.155,172.24.219.170,443,64773,tcp,4,264,7.101
44.207.251.162,172.24.219.170,443,64775,tcp,4,264,7.284
98.94.218.104,172.24.219.170,443,64776,tcp,4,264,7.279
34.232.52.169,172.24.219.170,443,64778,tcp,4,264,7.182
3.217.2.135,172.24.219.170,443,64781,tcp,4,264,6.989
44.207.251.162,172.24.219.170,443,64787,tcp,4,264,7.252
34.232.52.169,172.24.219.170,443,64789,tcp,4,264,7.161
3.217.2.135,172.24.219.170,443,64792,tcp,4,264,7.078
23.20.131.48,172.24.219.170,443,64795,tcp,4,264,7.177
98.94.218.104,172.24.219.170,443,58358,tcp,4,264,7.478
54.86.34.80,172.24.219.170,443,58360,tcp,4,264,7.027
54.86.34.80,172.24.219.170,443,58359,tcp,4,264,7.025
44.207.251.162,172.24.219.170,443,55908,tcp,4,264,7.506
44.207.251.162,172.24.219.170,443,55909,tcp,4,264,7.492
34.232.52.169,172.24.219.170,443,55910,tcp,4,264,7.096
3.217.2.135,172.24.219.170,443,55912,tcp,4,264,7.241
23.20.131.48,172.24.219.170,443,55914,tcp,4,264,7.201
23.20.131.48,172.24.219.170,443,55915,tcp,4,264,7.195
23.23.42.155,172.24.219.170,443,55917,tcp,4,264,7.21
98.94.218.104,172.24.219.170,443,55918,tcp,4,264,6.985
98.94.218.104,172.24.219.170,443,55919,tcp,4,264,7.12
54.86.34.80,172.24.219.170,443,55920,tcp,4,264,7.087
44.207.251.162,172.24.219.170,443,55924,tcp,4,264,7.612
3.217.2.135,172.24.219.170,443,55926,tcp,4,264,7.132
23.20.131.48,172.24.219.170,443,55927,tcp,4,264,7.18
23.23.42.155,172.24.219.170,443,55928,tcp,4,264,7.375
98.94.218.104,172.24.219.170,443,55929,tcp,4,264,6.951
44.207.251.162,172.24.219.170,443,55934,tcp,4,264,7.241
34.232.52.169,172.24.219.170,443,55936,tcp,4,264,7.529
3.217.2.135,172.24.219.170,443,55938,tcp,4,264,7.03
23.20.131.48,172.24.219.170,443,55940,tcp,4,264,7.186
98.94.218.104,172.24.219.170,443,55944,tcp,4,264,7.469
44.207.251.162,172.24.219.170,443,55287,tcp,4,264,7.076
44.207.251.162,172.24.219.170,443,55286,tcp,4,264,7.08
34.232.52.169,172.24.219.170,443,55289,tcp,4,264,7.255
3.217.2.135,172.24.219.170,443,55291,tcp,4,264,6.975
172.24.219.170,20.201.215.0,57116,3544,udp,2,206,26.075
172.24.219.139,172.24.219.170,53,57600,udp,1,206,0.0
172.24.219.139,172.24.219.170,53,54928,tcp,2,203,0.001
52.4.67.246,172.24.219.170,443,61328,tcp,3,198,21.92
3.211.52.247,172.24.219.170,443,55793,tcp,3,198,10.879
54.236.65.238,172.24.219.170,443,64741,tcp,3,198,3.196
54.144.159.232,172.24.219.170,443,64747,tcp,3,198,3.015
18.209.130.136,172.24.219.170,443,64752,tcp,3,198,2.863
23.20.131.48,172.24.219.170,443,64769,tcp,3,198,2.881
54.86.34.80,172.24.219.170,443,64771,tcp,3,198,2.883
98.94.218.104,172.24.219.170,443,64777,tcp,3,198,3.045
54.86.34.80,172.24.219.170,443,64779,tcp,3,198,3.021
54.86.34.80,172.24.219.170,443,64780,tcp,3,198,3.031
23.20.131.48,172.24.219.170,443,64784,tcp,3,198,3.004
34.232.52.169,172.24.219.170,443,64790,tcp,3,198,3.021
3.217.2.135,172.24.219.170,443,64793,tcp,3,198,2.987
98.94.218.104,172.24.219.170,443,58357,tcp,3,198,3.034
34.232.52.169,172.24.219.170,443,55911,tcp,3,198,3.021
54.86.34.80,172.24.219.170,443,55921,tcp,3,198,3.04
34.232.52.169,172.24.219.170,443,55925,tcp,3,198,3.178
54.86.34.80,172.24.219.170,443,55930,tcp,3,198,3.005
54.86.34.80,172.24.219.170,443,55946,tcp,3,198,3.022
34.232.52.169,172.24.219.170,443,55288,tcp,3,198,3.029
3.217.2.135,172.24.219.170,443,55290,tcp,3,198,3.182
23.20.131.48,172.24.219.170,443,55292,tcp,3,198,2.985
23.20.131.48,172.24.219.170,443,55293,tcp,3,198,2.985
23.23.42.155,172.24.219.170,443,55294,tcp,3,198,3.04
23.23.42.155,172.24.219.170,443,55295,tcp,3,198,3.052
98.94.218.104,172.24.219.170,443,55297,tcp,3,198,3.03
98.94.218.104,172.24.219.170,443,55296,tcp,3,198,3.018
54.86.34.80,172.24.219.170,443,55298,tcp,3,198,2.883
54.86.34.80,172.24.219.170,443,55299,tcp,3,198,2.883
172.24.219.170,52.4.67.246,61328,443,tcp,3,163,21.927
172.24.219.170,35.237.69.59,54090,443,tcp,3,163,15.25
172.24.219.170,3.211.52.247,55793,443,tcp,3,163,11.226
172.24.219.139,172.24.219.170,53,58554,udp,1,159,0.0
172.24.219.139,172.24.219.170,53,55256,udp,1,152,0.0
172.24.219.170,172.24.219.139,50171,53,udp,2,150,13.474
34.229.66.51,172.24.219.170,443,63102,tcp,2,148,0.29
172.24.219.170,13.71.196.234,56314,8883,tcp,2,139,0.362
172.24.219.170,224.0.0.252,49670,5355,udp,2,130,0.414
172.24.219.170,52.110.14.168,60682,443,tcp,2,108,0.085
172.24.219.170,40.104.77.98,60684,443,tcp,2,108,0.006
172.24.219.170,40.104.77.98,60685,443,tcp,2,108,0.005
172.24.219.170,20.189.173.24,60714,443,tcp,2,108,0.302
172.24.219.170,23.218.229.128,59237,80,tcp,2,108,0.038
172.24.219.170,142.250.183.227,59236,80,tcp,2,108,0.033
172.24.219.170,92.223.76.254,59238,80,tcp,2,108,0.133
172.24.219.170,34.229.66.51,63102,443,tcp,1,97,0.0
172.24.219.170,172.24.219.139,58554,53,udp,1,95,0.0
172.24.219.170,172.24.219.139,55256,53,udp,1,95,0.0
13.71.196.234,172.24.219.170,8883,56314,tcp,1,85,0.0
172.24.219.170,255.255.255.255,53634,1947,udp,1,82,0.0
172.24.219.170,172.24.219.255,53633,1947,udp,1,82,0.0
172.24.219.170,224.0.0.253,57116,3544,udp,1,82,0.0
172.24.219.170,172.24.219.255,61665,1947,udp,1,82,0.0
172.24.219.170,172.24.219.139,57600,53,udp,1,74,0.0
172.24.219.170,172.24.219.139,52610,53,udp,1,74,0.0
13.224.163.92,172.24.219.170,443,64016,tcp,1,70,0.0
74.125.24.188,172.24.219.170,5228,53172,tcp,1,70,0.0
108.158.232.34,172.24.219.170,443,63296,tcp,1,66,0.0
172.24.219.170,54.156.74.22,64733,443,tcp,1,66,0.0
172.24.219.170,54.156.74.22,64734,443,tcp,1,66,0.0
172.24.219.170,54.156.74.22,64735,443,tcp,1,66,0.0
172.24.219.170,23.23.148.246,64736,443,tcp,1,66,0.0
172.24.219.170,23.23.148.246,64737,443,tcp,1,66,0.0
172.24.219.170,23.23.148.246,64738,443,tcp,1,66,0.0
172.24.219.170,54.236.65.238,64739,443,tcp,1,66,0.0
172.24.219.170,54.236.65.238,64740,443,tcp,1,66,0.0
172.24.219.170,54.236.65.238,64741,443,tcp,1,66,0.0
172.24.219.170,52.204.28.146,64742,443,tcp,1,66,0.0
